riskhater_wealth,riskhater_creturns,naive_wealth,naive_creturns,markowitzsavvy1_wealth,markowitzsavvy1_creturns,markowitzsavvy2_wealth,markowitzsavvy2_creturns,markowitzsavvy3_wealth,markowitzsavvy3_creturns
1.10009,0.100095,3.36535,2.36535,1.54331,0.54331,4.98196,3.98196,4.13201e-08,-1
1.10027,0.100275,3.33705,2.33705,1.53888,0.538875,4.89531,3.89531,3.38521e-08,-1
1.10045,0.100448,3.33472,2.33472,1.54856,0.54856,5.06875,4.06875,4.61472e-08,-1
1.10062,0.100623,3.31745,2.31745,1.5457,0.545705,5.0111,4.0111,4.06756e-08,-1
1.1008,0.100795,3.29182,2.29182,1.53936,0.539361,4.88931,3.88931,3.04431e-08,-1
1.10097,0.100966,3.30687,2.30687,1.53545,0.535451,4.81444,3.81444,2.56027e-08,-1
1.10114,0.101142,3.28709,2.28709,1.53273,0.532734,4.76176,3.76176,2.26808e-08,-1
1.10132,0.10132,3.29845,2.29845,1.54244,0.542436,4.93206,3.93206,3.1002e-08,-1
1.1015,0.101499,3.25309,2.25309,1.54662,0.546616,5.00545,4.00545,3.57078e-08,-1
1.10168,0.101679,3.23248,2.23248,1.54438,0.544384,4.95977,3.95977,3.22954e-08,-1
1.10186,0.101863,3.22184,2.22184,1.53422,0.534223,4.76659,3.76659,1.92775e-08,-1
1.10205,0.102047,3.207,2.207,1.53881,0.538813,4.84552,3.84552,2.2539e-08,-1
1.10223,0.102229,3.26499,2.26499,1.54362,0.543617,4.92931,3.92931,2.65219e-08,-1
1.10241,0.102415,3.27394,2.27394,1.54059,0.54059,4.86915,3.86915,2.31417e-08,-1
1.1026,0.102601,3.30947,2.30947,1.54701,0.547014,4.98318,3.98318,2.86947e-08,-1
1.10278,0.10278,3.25368,2.25368,1.54757,0.54757,4.98965,3.98965,2.90354e-08,-1
1.10296,0.102962,3.26849,2.26849,1.54669,0.546685,4.96922,3.96922,2.77657e-08,-1
1.10314,0.103144,3.29622,2.29622,1.54895,0.548945,5.00734,4.00734,2.99185e-08,-1
1.10332,0.103324,3.36132,2.36132,1.55324,0.553241,5.0837,4.0837,3.45742e-08,-1
1.1035,0.103501,3.37902,2.37902,1.55835,0.558354,5.17626,4.17626,4.10055e-08,-1
1.10368,0.103678,3.38968,2.38968,1.56501,0.56501,5.29973,4.29973,5.10164e-08,-1
1.10385,0.103853,3.36598,2.36598,1.56829,0.56829,5.35966,4.35966,5.68805e-08,-1
1.10403,0.104033,3.3586,2.3586,1.57141,0.57141,5.4171,4.4171,6.30749e-08,-1
1.10422,0.104216,3.32009,2.32009,1.56415,0.564154,5.26781,4.26781,4.50573e-08,-1
1.1044,0.1044,3.30091,2.30091,1.55752,0.557524,5.13403,4.13403,3.31888e-08,-1
1.10458,0.104584,3.2855,2.2855,1.55337,0.553374,5.05066,4.05066,2.75815e-08,-1
1.10477,0.104766,3.3259,2.3259,1.5559,0.555901,5.09425,4.09425,2.99926e-08,-1
1.10495,0.104951,3.30595,2.30595,1.55067,0.550671,4.99086,3.99086,2.36699e-08,-1
1.10513,0.105134,3.31829,2.31829,1.54714,0.547142,4.92105,3.92105,2.02206e-08,-1
1.10532,0.105317,3.35528,2.35528,1.54291,0.542913,4.83925,3.83925,1.67248e-08,-1
1.1055,0.105501,3.34164,2.34164,1.53712,0.537118,4.72996,3.72996,1.28045e-08,-1
1.10569,0.105687,3.2921,2.2921,1.54522,0.545223,4.87101,3.87101,1.67225e-08,-1
1.10587,0.105872,3.28053,2.28053,1.54605,0.546052,4.88224,3.88224,1.70941e-08,-1
1.10606,0.10606,3.25195,2.25195,1.54232,0.542316,4.80962,3.80962,1.44439e-08,-1
1.10625,0.106247,3.19544,2.19544,1.54126,0.541262,4.7866,3.7866,1.37079e-08,-1
1.10644,0.10644,3.17658,2.17658,1.54332,0.543324,4.81999,3.81999,1.4673e-08,-1
1.10663,0.106631,3.18045,2.18045,1.54769,0.547693,4.89556,3.89556,1.70239e-08,-1
1.10683,0.106826,3.13304,2.13304,1.54683,0.546828,4.87534,3.87534,1.62694e-08,-1
1.10702,0.107022,3.11193,2.11193,1.5474,0.547401,4.88174,3.88174,1.64633e-08,-1
1.10722,0.10722,3.12314,2.12314,1.54952,0.549523,4.91677,3.91677,1.76567e-08,-1
1.10742,0.107417,3.14455,2.14455,1.54899,0.548988,4.90257,3.90257,1.71003e-08,-1
1.10761,0.107614,3.13125,2.13125,1.55622,0.556216,5.03253,4.03253,2.17557e-08,-1
1.10782,0.107816,3.0934,2.0934,1.55655,0.556555,5.0345,4.0345,2.18068e-08,-1
1.10802,0.108022,3.12444,2.12444,1.55994,0.559935,5.09457,4.09457,2.44616e-08,-1
1.10823,0.108226,3.13405,2.13405,1.55794,0.55794,5.05156,4.05156,2.22838e-08,-1
1.10843,0.108428,3.17419,2.17419,1.5561,0.556104,5.01193,4.01193,2.04376e-08,-1
1.10863,0.108634,3.21396,2.21396,1.55233,0.552326,4.93546,3.93546,1.71756e-08,-1
1.10883,0.108834,3.21927,2.21927,1.55312,0.553116,4.94588,3.94588,1.75218e-08,-1
1.10903,0.109031,3.19566,2.19566,1.55662,0.556615,5.00696,4.00696,1.97282e-08,-1
1.10923,0.109233,3.15934,2.15934,1.55437,0.554371,4.95997,3.95997,1.77801e-08,-1
1.10943,0.109433,3.17287,2.17287,1.55867,0.558667,5.03616,4.03616,2.05731e-08,-1
1.10964,0.109635,3.15509,2.15509,1.55914,0.55914,5.04066,4.04066,2.07283e-08,-1
1.10984,0.109843,3.112,2.112,1.55896,0.558965,5.03268,4.03268,2.03521e-08,-1
1.11005,0.110054,3.0507,2.0507,1.56244,0.562438,5.09454,4.09454,2.29068e-08,-1
1.11027,0.110268,3.01397,2.01397,1.56269,0.562691,5.09459,4.09459,2.28676e-08,-1
1.11048,0.11048,3.01347,2.01347,1.5687,0.568699,5.2062,4.2062,2.80157e-08,-1
1.11069,0.110689,3.03845,2.03845,1.57121,0.571209,5.25076,4.25076,3.04483e-08,-1
1.1109,0.110897,2.96695,1.96695,1.57557,0.575568,5.33217,4.33217,3.52816e-08,-1
1.11111,0.11111,2.93478,1.93478,1.57158,0.571582,5.24687,4.24687,2.93712e-08,-1
